order_id,line_no,sku,qty,unit_price,status,ship_date,region,updated_at
SO-00001,1,SKU109,13,197.03,open,2026-08-27,APAC,2026-08-31 10:00
SO-00001,2,SKU106,12,176.92,invoiced,2026-08-07,EMEA,2026-08-31 10:00
SO-00002,1,SKU127,14,25.61,open,2026-08-18,NA,2026-08-31 10:00
SO-00003,1,SKU136,4,284.50,invoiced,2026-08-21,APAC,2026-08-31 10:00
SO-00004,1,SKU136,19,122.02,open,2026-08-02,APAC,2026-08-31 10:00
SO-00005,1,SKU118,14,47.56,open,2026-08-19,NA,2026-08-31 10:00
SO-00006,1,SKU111,4,176.57,invoiced,2026-08-07,NA,2026-08-31 10:00
SO-00006,2,SKU106,18,215.07,invoiced,2026-08-02,APAC,2026-08-31 10:00
SO-00006,3,SKU113,16,205.72,shipped,2026-08-25,NA,2026-08-31 10:00
SO-00007,1,SKU137,15,111.67,open,2026-08-26,EMEA,2026-08-31 10:00
SO-00007,2,SKU115,3,174.45,invoiced,2026-08-16,NA,2026-08-31 10:00
SO-00008,1,SKU128,10,184.64,open,2026-08-04,APAC,2026-08-31 10:00
SO-00008,2,SKU126,6,228.36,open,2026-08-16,NA,2026-08-31 10:00
SO-00008,3,SKU102,3,230.55,invoiced,2026-08-26,NA,2026-08-31 10:00
SO-00009,1,SKU122,20,151.52,shipped,2026-08-03,EMEA,2026-08-31 10:00
SO-00009,2,SKU117,16,210.63,open,2026-08-02,APAC,2026-08-31 10:00
SO-00010,1,SKU119,19,297.96,shipped,2026-08-10,APAC,2026-08-31 10:00
SO-00010,2,SKU124,12,11.66,shipped,2026-08-12,EMEA,2026-08-31 10:00
SO-00010,3,SKU139,4,150.64,open,2026-08-25,NA,2026-08-31 10:00
SO-00011,1,SKU115,13,120.33,shipped,2026-08-03,EMEA,2026-08-31 10:00
SO-00012,1,SKU125,18,86.96,open,2026-08-27,NA,2026-08-31 10:00
SO-00012,2,SKU135,9,213.39,shipped,2026-08-22,NA,2026-08-31 10:00
SO-00013,1,SKU109,3,56.98,open,2026-08-22,EMEA,2026-08-31 10:00
SO-00014,1,SKU131,19,58.79,shipped,2026-08-01,EMEA,2026-08-31 10:00
SO-00015,1,SKU134,12,184.89,shipped,2026-08-05,APAC,2026-08-31 10:00
SO-00015,2,SKU132,20,198.22,invoiced,2026-08-02,NA,2026-08-31 10:00
SO-00016,1,SKU135,13,122.43,shipped,2026-08-04,NA,2026-08-31 10:00
SO-00016,2,SKU140,13,23.36,open,2026-08-07,NA,2026-08-31 10:00
SO-00016,3,SKU110,4,105.32,open,2026-08-04,EMEA,2026-08-31 10:00
SO-00017,1,SKU109,18,34.93,shipped,2026-08-20,EMEA,2026-08-31 10:00
SO-00017,2,SKU104,7,186.15,open,2026-08-21,NA,2026-08-31 10:00
SO-00017,3,SKU122,20,112.43,open,2026-08-04,NA,2026-08-31 10:00
SO-00018,1,SKU130,16,97.00,open,2026-08-04,APAC,2026-08-31 10:00
SO-00018,2,SKU121,9,146.19,invoiced,2026-08-06,APAC,2026-08-31 10:00
SO-00019,1,SKU113,17,111.72,invoiced,2026-08-18,EMEA,2026-08-31 10:00
SO-00020,1,SKU119,3,210.38,shipped,2026-08-17,NA,2026-08-31 10:00
SO-00020,2,SKU110,12,232.72,invoiced,2026-08-18,APAC,2026-08-31 10:00
SO-00020,3,SKU121,8,185.90,open,2026-08-26,EMEA,2026-08-31 10:00
SO-00021,1,SKU114,7,157.70,shipped,2026-08-24,EMEA,2026-08-31 10:00
SO-00021,2,SKU101,9,144.31,open,2026-08-23,APAC,2026-08-31 10:00
SO-00022,1,SKU128,12,286.73,shipped,2026-08-03,EMEA,2026-08-31 10:00
SO-00022,2,SKU106,8,143.67,shipped,2026-08-07,NA,2026-08-31 10:00
SO-00023,1,SKU139,1,146.44,invoiced,2026-08-12,APAC,2026-08-31 10:00
SO-00023,2,SKU105,4,273.38,invoiced,2026-08-25,EMEA,2026-08-31 10:00
SO-00023,3,SKU130,6,133.01,invoiced,2026-08-11,EMEA,2026-08-31 10:00
SO-00024,1,SKU125,15,123.41,open,2026-08-24,EMEA,2026-08-31 10:00
SO-00024,2,SKU110,5,13.13,invoiced,2026-08-15,APAC,2026-08-31 10:00
SO-00024,3,SKU109,20,248.82,shipped,2026-08-22,NA,2026-08-31 10:00
SO-00025,1,SKU135,18,43.64,open,2026-08-26,APAC,2026-08-31 10:00
SO-00026,1,SKU106,17,226.10,open,2026-08-14,EMEA,2026-08-31 10:00
SO-00026,2,SKU113,1,79.29,shipped,2026-08-17,EMEA,2026-08-31 10:00
SO-00026,3,SKU137,11,81.51,shipped,2026-08-27,EMEA,2026-08-31 10:00
SO-00027,1,SKU122,15,200.43,invoiced,2026-08-14,APAC,2026-08-31 10:00
SO-00028,1,SKU134,5,159.43,open,2026-08-28,NA,2026-08-31 10:00
SO-00029,1,SKU138,1,233.93,open,2026-08-06,EMEA,2026-08-31 10:00
SO-00030,1,SKU139,4,169.16,shipped,2026-08-22,APAC,2026-08-31 10:00
SO-00030,2,SKU133,18,147.33,open,2026-08-18,EMEA,2026-08-31 10:00
SO-00031,1,SKU112,9,17.45,open,2026-08-17,NA,2026-08-31 10:00
SO-00032,1,SKU101,3,135.76,invoiced,2026-08-17,APAC,2026-08-31 10:00
SO-00032,2,SKU132,7,209.36,shipped,2026-08-17,APAC,2026-08-31 10:00
SO-00032,3,SKU130,17,282.74,invoiced,2026-08-17,NA,2026-08-31 10:00
SO-00033,1,SKU112,15,45.45,open,2026-08-13,NA,2026-08-31 10:00
SO-00033,2,SKU120,3,202.99,shipped,2026-08-03,EMEA,2026-08-31 10:00
SO-00033,3,SKU119,4,269.62,open,2026-08-23,APAC,2026-08-31 10:00
SO-00034,1,SKU123,5,79.67,open,2026-08-15,EMEA,2026-08-31 10:00
SO-00034,2,SKU106,13,266.06,open,2026-08-22,EMEA,2026-08-31 10:00
SO-00034,3,SKU110,14,298.25,shipped,2026-08-11,NA,2026-08-31 10:00
SO-00035,1,SKU122,11,32.20,shipped,2026-08-01,NA,2026-08-31 10:00
SO-00036,1,SKU129,15,212.43,shipped,2026-08-11,APAC,2026-08-31 10:00
SO-00036,2,SKU139,10,156.12,open,2026-08-04,EMEA,2026-08-31 10:00
SO-00036,3,SKU106,3,83.34,open,2026-08-25,EMEA,2026-08-31 10:00
SO-00037,1,SKU108,14,255.63,invoiced,2026-08-27,NA,2026-08-31 10:00
SO-00037,2,SKU125,5,163.30,invoiced,2026-08-19,NA,2026-08-31 10:00
